;70;274;HAMBURGUESAS *KG 303;131;1;4200;2-FIAMBRES;0;
;71;275;MADEJA DE TRIPA;131;1;4999;SERVICIO DE FAENA;0;
;72;301;TOCINO;131;1;4300;3-CARNE CERDO;1;
;73;302;BIFE DE CERDO;131;1;4300;3-CARNE CERDO;1;
;74;303;PECHITO DE CERDO;131;1;4300;3-CARNE CERDO;1;
;75;304;PALETA DE CERDO FCA C/H;131;1;4300;3-CARNE CERDO;1;
;76;305;PANCETA FCA.;131;1;4300;3-CARNE CERDO;1;
;77;306;PATAS;131;1;4300;3-CARNE CERDO;1;
;78;307;HUESOS;131;1;4300;3-CARNE CERDO;1;
;79;308;UNTO;131;1;4300;3-CARNE CERDO;1;
;80;309;CUEROS;131;1;4300;3-CARNE CERDO;1;
;81;310;MATAMBRITOS;131;1;4300;3-CARNE CERDO;1;
;82;311;OREJAS DE CERDO;131;1;4300;3-CARNE CERDO;1;
;83;312;RECORTES DE CARNE 80 %;131;1;4300;3-CARNE CERDO;1;
;84;313;LECHON X KG;131;1;4600;LECHON;1;
;85;314;CORDERO;131;1;4700;CORDEROS;1;
;86;315;1/2 RES DE CERDO C/Cza;131;1;4800;6-1/2-CUARTO/DEL/PAR;1;
;87;316;1/2 RES DE CERDO S/CZA;131;1;4800;6-1/2-CUARTO/DEL/PAR;1;
;88;318;CABEZAS;131;1;4300;3-CARNE CERDO;1;
;89;319;HIGADO DE CERDO;131;1;4300;3-CARNE CERDO;1;
;90;320;GARRON;131;1;4300;3-CARNE CERDO;1;
;91;323;PALETA DE CERDO S/H;131;1;4300;3-CARNE CERDO;1;
;92;324;PULPA DE CERDO;131;1;4300;3-CARNE CERDO;1;
;93;325;JAMON FRESCO;131;1;4300;3-CARNE CERDO;1;
;94;327;BONDIOLA FCA.;131;1;4300;3-CARNE CERDO;1;
;95;328;COLAS;131;1;4300;3-CARNE CERDO;1;
;96;330;JAMON FRESCO S/H;131;1;4300;3-CARNE CERDO;1;
;97;336;BIFE DE CERDO S/H;131;1;4300;3-CARNE CERDO;1;
;98;341;CODILLO DE CERDO;131;1;4300;3-CARNE CERDO;1;
;99;342;SOLOMILLO;131;1;4300;3-CARNE CERDO;1;
;100;401;BIFES;131;1;4400;4-CARNE VACUNA;1;
;101;402;ASADO;131;1;4400;4-CARNE VACUNA;1;
;102;403;CUADRIL;131;1;4400;4-CARNE VACUNA;1;
;103;404;NALGA;131;1;4400;4-CARNE VACUNA;1;
;104;405;CUADRADA;131;1;4400;4-CARNE VACUNA;1;
;105;406;PALOMITA;131;1;4400;4-CARNE VACUNA;1;
;106;407;PECETO;131;1;4400;4-CARNE VACUNA;1;
;107;408;PICADA;131;1;4400;4-CARNE VACUNA;1;
;108;409;TAPA DE NALGA;131;1;4400;4-CARNE VACUNA;1;
;109;411;ROAST-BEEF;131;1;4400;4-CARNE VACUNA;1;
;110;412;MATAMBRE;131;1;4400;4-CARNE VACUNA;1;
;111;413;AGUJA;131;1;4400;4-CARNE VACUNA;1;
;112;414;LOMO;131;1;4400;4-CARNE VACUNA;1;
;113;416;FALDA;131;1;4400;4-CARNE VACUNA;1;
;114;417;VACIO;131;1;4400;4-CARNE VACUNA;1;
;115;418;BOLA DE LOMO;131;1;4400;4-CARNE VACUNA;1;
;116;419;PALETA VAC.;131;1;4400;4-CARNE VACUNA;1;
;117;421;RECORTE DE CARNE;131;1;4400;4-CARNE VACUNA;1;
;118;426;CUARTO VACUNO;131;1;4400;4-CARNE VACUNA;1;
;119;427;CARACU;131;1;4400;4-CARNE VACUNA;1;
;120;428;MEDIA RES VACUNA;131;1;4800;6-1/2-CUARTO/DEL/PAR;1;
;121;429;TRAQUEAS;131;1;4400;4-CARNE VACUNA;1;
;122;430;TAPA DE ASADO;131;1;4400;4-CARNE VACUNA;1;
;123;431;CORTE PARRILLERO;131;1;4800;6-1/2-CUARTO/DEL/PAR;1;
