"r01;r02;id;r01;prevta"
"00000109;MORCILLA VASCA  303;1;L1 COMERCIO;7896.71275
"00000109;MORCILLA VASCA  303;41;L41 ENV AL VACIO;0.00000
"00000109;MORCILLA VASCA  303;55;L55 MARTIN LISTA;6629.60100
"00000109;MORCILLA VASCA  303;2;L2 VILLARINO;7896.71275
"00000109;MORCILLA VASCA  303;52;PM MEAT CHAIN BONARENSE;6629.88700
"00000109;MORCILLA VASCA  303;4;L3 P ALTA/SIERRA/MONTE;8237.60725
"00000109;MORCILLA VASCA  303;53;MD;0.00000
"00000110;HUESOS VACUNOS;1;L1 COMERCIO;0.00000
"00000110;HUESOS VACUNOS;54;USUARIO FAENA  BBCA;1.00000
"00000110;HUESOS VACUNOS;2;L2 VILLARINO;0.00000
"00000110;HUESOS VACUNOS;52;PM MEAT CHAIN BONARENSE;0.00000
"00000110;HUESOS VACUNOS;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000110;HUESOS VACUNOS;55;L55 MARTIN LISTA;0.00000
"00000110;HUESOS VACUNOS;53;MD;0.00000
"00000110;HUESOS VACUNOS;26;L60 TOTO SAPORE;-758.85700
"00000110;HUESOS VACUNOS;41;L41 ENV AL VACIO;0.00000
"00000111;CUEROS VACUNOS;54;USUARIO FAENA  BBCA;1.00000
"00000111;CUEROS VACUNOS;1;L1 COMERCIO;0.00000
"00000111;CUEROS VACUNOS;41;L41 ENV AL VACIO;0.00000
"00000111;CUEROS VACUNOS;55;L55 MARTIN LISTA;0.00000
"00000111;CUEROS VACUNOS;2;L2 VILLARINO;0.00000
"00000111;CUEROS VACUNOS;52;PM MEAT CHAIN BONARENSE;0.00000
"00000111;CUEROS VACUNOS;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000111;CUEROS VACUNOS;53;MD;0.00000
"00000111;CUEROS VACUNOS;26;L60 TOTO SAPORE;0.00000
"00000112;MORCILLA C/NUEZ Y ACEITUNAS;52;PM MEAT CHAIN BONARENSE;7851.60200
"00000112;MORCILLA C/NUEZ Y ACEITUNAS;4;L3 P ALTA/SIERRA/MONTE;8237.60725
"00000112;MORCILLA C/NUEZ Y ACEITUNAS;53;MD;0.00000
"00000112;MORCILLA C/NUEZ Y ACEITUNAS;26;L60 TOTO SAPORE;23887.34700
"00000112;MORCILLA C/NUEZ Y ACEITUNAS;54;USUARIO FAENA  BBCA;1.00000
"00000112;MORCILLA C/NUEZ Y ACEITUNAS;1;L1 COMERCIO;9032.94575
"00000112;MORCILLA C/NUEZ Y ACEITUNAS;41;L41 ENV AL VACIO;186.62700
"00000112;MORCILLA C/NUEZ Y ACEITUNAS;55;L55 MARTIN LISTA;1.18800
"00000112;MORCILLA C/NUEZ Y ACEITUNAS;2;L2 VILLARINO;11362.19675
"00000113;MORCILLA BLANCA;1;L1 COMERCIO;11189.77125
"00000113;MORCILLA BLANCA;41;L41 ENV AL VACIO;186.62700
"00000113;MORCILLA BLANCA;55;L55 MARTIN LISTA;7850.70000
"00000113;MORCILLA BLANCA;2;L2 VILLARINO;11676.28750
"00000113;MORCILLA BLANCA;52;PM MEAT CHAIN BONARENSE;7851.60200
"00000113;MORCILLA BLANCA;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000113;MORCILLA BLANCA;53;MD;0.00000
"00000113;MORCILLA BLANCA;26;L60 TOTO SAPORE;0.00000
"00000113;MORCILLA BLANCA;54;USUARIO FAENA  BBCA;1.00000
"00000117;CHORIZO PARMESANO;1;L1 COMERCIO;11930.31325
"00000117;CHORIZO PARMESANO;2;L2 VILLARINO;11930.31325
"00000117;CHORIZO PARMESANO;54;USUARIO FAENA  BBCA;1.00000
"00000117;CHORIZO PARMESANO;4;L3 P ALTA/SIERRA/MONTE;11930.31325
"00000117;CHORIZO PARMESANO;55;L55 MARTIN LISTA;10877.76800
"00000117;CHORIZO PARMESANO;52;PM MEAT CHAIN BONARENSE;10361.12000
"00000117;CHORIZO PARMESANO;53;MD;0.00000
"00000117;CHORIZO PARMESANO;41;L41 ENV AL VACIO;255.16050
"00000117;CHORIZO PARMESANO;26;L60 TOTO SAPORE;30257.34800
"00000118;CHORIZO ESPECIAL 303;1;L1 COMERCIO;0.00000
"00000118;CHORIZO ESPECIAL 303;41;L41 ENV AL VACIO;0.00000
"00000118;CHORIZO ESPECIAL 303;55;L55 MARTIN LISTA;0.00000
"00000118;CHORIZO ESPECIAL 303;2;L2 VILLARINO;0.00000
"00000118;CHORIZO ESPECIAL 303;52;PM MEAT CHAIN BONARENSE;0.00000
"00000118;CHORIZO ESPECIAL 303;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000118;CHORIZO ESPECIAL 303;53;MD;0.00000
"00000118;CHORIZO ESPECIAL 303;26;L60 TOTO SAPORE;0.00000
"00000118;CHORIZO ESPECIAL 303;54;USUARIO FAENA  BBCA;0.00000
"00000119;MORCILLA C/VERDEO;53;MD;0.00000
"00000119;MORCILLA C/VERDEO;26;L60 TOTO SAPORE;23887.34700
"00000119;MORCILLA C/VERDEO;54;USUARIO FAENA  BBCA;1.00000
"00000119;MORCILLA C/VERDEO;1;L1 COMERCIO;7896.71275
"00000119;MORCILLA C/VERDEO;41;L41 ENV AL VACIO;186.62810
"00000119;MORCILLA C/VERDEO;55;L55 MARTIN LISTA;7850.70000
"00000119;MORCILLA C/VERDEO;2;L2 VILLARINO;8351.20800
"00000119;MORCILLA C/VERDEO;52;PM MEAT CHAIN BONARENSE;7851.60200
"00000119;MORCILLA C/VERDEO;4;L3 P ALTA/SIERRA/MONTE;8351.20800
"00000121;POLLO FCO;1;L1 COMERCIO;0.00000
"00000121;POLLO FCO;55;L55 MARTIN LISTA;0.00000
"00000121;POLLO FCO;41;L41 ENV AL VACIO;0.00000
"00000121;POLLO FCO;53;MD;0.00000
"00000121;POLLO FCO;2;L2 VILLARINO;0.00000
"00000121;POLLO FCO;52;PM MEAT CHAIN BONARENSE;0.00000
"00000121;POLLO FCO;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000121;POLLO FCO;54;USUARIO FAENA  BBCA;1.00000
"00000121;POLLO FCO;26;L60 TOTO SAPORE;0.00000
"00000201;JAMON COCIDO;2;L2 VILLARINO;10934.85800
"00000201;JAMON COCIDO;52;PM MEAT CHAIN BONARENSE;10462.70500
"00000201;JAMON COCIDO;4;L3 P ALTA/SIERRA/MONTE;10934.85800
"00000201;JAMON COCIDO;53;MD;0.00000
"00000201;JAMON COCIDO;26;L60 TOTO SAPORE;0.00000
"00000201;JAMON COCIDO;54;USUARIO FAENA  BBCA;1.00000
"00000201;JAMON COCIDO;1;L1 COMERCIO;10934.85800
"00000201;JAMON COCIDO;41;L41 ENV AL VACIO;225.08850
"00000201;JAMON COCIDO;55;L55 MARTIN LISTA;10360.49300
"00000203;PERNIL DE CERDO MITY;26;L60 TOTO SAPORE;24149.60900
"00000203;PERNIL DE CERDO MITY;54;USUARIO FAENA  BBCA;1.00000
"00000203;PERNIL DE CERDO MITY;1;L1 COMERCIO;6345.46000
"00000203;PERNIL DE CERDO MITY;41;L41 ENV AL VACIO;139.40850
"00000203;PERNIL DE CERDO MITY;55;L55 MARTIN LISTA;8288.18100
"00000203;PERNIL DE CERDO MITY;2;L2 VILLARINO;6535.45200
"00000203;PERNIL DE CERDO MITY;52;PM MEAT CHAIN BONARENSE;8369.37200
"00000203;PERNIL DE CERDO MITY;4;L3 P ALTA/SIERRA/MONTE;6535.45200
"00000203;PERNIL DE CERDO MITY;53;MD;0.00000
"00000204;MORTADELA CAÑON;41;L41 ENV AL VACIO;141.75000
"00000204;MORTADELA CAÑON;55;L55 MARTIN LISTA;7602.61700
"00000204;MORTADELA CAÑON;2;L2 VILLARINO;7701.08900
"00000204;MORTADELA CAÑON;52;PM MEAT CHAIN BONARENSE;9133.76200
"00000204;MORTADELA CAÑON;4;L3 P ALTA/SIERRA/MONTE;7701.08900
"00000204;MORTADELA CAÑON;53;MD;0.00000
"00000204;MORTADELA CAÑON;26;L60 TOTO SAPORE;23308.14200
"00000204;MORTADELA CAÑON;54;USUARIO FAENA  BBCA;1.00000
"00000204;MORTADELA CAÑON;1;L1 COMERCIO;7701.08900
"00000205;MORTADELA FAMILIAR;26;L60 TOTO SAPORE;23308.14200
"00000205;MORTADELA FAMILIAR;54;USUARIO FAENA  BBCA;1.00000
"00000205;MORTADELA FAMILIAR;1;L1 COMERCIO;12886.91800
"00000205;MORTADELA FAMILIAR;41;L41 ENV AL VACIO;171.05550
"00000205;MORTADELA FAMILIAR;55;L55 MARTIN LISTA;9044.58500
"00000205;MORTADELA FAMILIAR;2;L2 VILLARINO;12886.91800
"00000205;MORTADELA FAMILIAR;52;PM MEAT CHAIN BONARENSE;9133.76200
"00000205;MORTADELA FAMILIAR;4;L3 P ALTA/SIERRA/MONTE;12886.91800
"00000205;MORTADELA FAMILIAR;53;MD;0.00000
"00000206;SALCHICHON CON JAMON;2;L2 VILLARINO;9755.37200
"00000206;SALCHICHON CON JAMON;52;PM MEAT CHAIN BONARENSE;8411.42500
"00000206;SALCHICHON CON JAMON;4;L3 P ALTA/SIERRA/MONTE;9755.37200
"00000206;SALCHICHON CON JAMON;53;MD;0.00000
"00000206;SALCHICHON CON JAMON;26;L60 TOTO SAPORE;23308.14200
"00000206;SALCHICHON CON JAMON;54;USUARIO FAENA  BBCA;1.00000
"00000206;SALCHICHON CON JAMON;1;L1 COMERCIO;9755.37200
"00000206;SALCHICHON CON JAMON;41;L41 ENV AL VACIO;127.57500
"00000206;SALCHICHON CON JAMON;55;L55 MARTIN LISTA;8329.86000
"00000207;SALCHICHON PRIMAVERA;4;L3 P ALTA/SIERRA/MONTE;8354.73100
"00000207;SALCHICHON PRIMAVERA;53;MD;0.00000
"00000207;SALCHICHON PRIMAVERA;26;L60 TOTO SAPORE;23952.59900
"00000207;SALCHICHON PRIMAVERA;54;USUARIO FAENA  BBCA;1.00000
"00000207;SALCHICHON PRIMAVERA;1;L1 COMERCIO;8354.73100
"00000207;SALCHICHON PRIMAVERA;41;L41 ENV AL VACIO;141.75000
"00000207;SALCHICHON PRIMAVERA;55;L55 MARTIN LISTA;9298.80600
"00000207;SALCHICHON PRIMAVERA;2;L2 VILLARINO;8354.73100
"00000207;SALCHICHON PRIMAVERA;52;PM MEAT CHAIN BONARENSE;10057.15700
"00000208;QUESO DE CERDO;1;L1 COMERCIO;9337.63600
"00000208;QUESO DE CERDO;41;L41 ENV AL VACIO;127.57500
"00000208;QUESO DE CERDO;55;L55 MARTIN LISTA;8179.83100
"00000208;QUESO DE CERDO;2;L2 VILLARINO;9337.63600
"00000208;QUESO DE CERDO;52;PM MEAT CHAIN BONARENSE;8260.29600
"00000208;QUESO DE CERDO;4;L3 P ALTA/SIERRA/MONTE;9337.63600
"00000208;QUESO DE CERDO;53;MD;0.00000
"00000208;QUESO DE CERDO;26;L60 TOTO SAPORE;23952.59900
"00000208;QUESO DE CERDO;54;USUARIO FAENA  BBCA;0.00000
"00000209;MORCILLON CON LENGUA;53;MD;0.00000
"00000209;MORCILLON CON LENGUA;26;L60 TOTO SAPORE;23952.59900
"00000209;MORCILLON CON LENGUA;54;USUARIO FAENA  BBCA;0.00000
"00000209;MORCILLON CON LENGUA;1;L1 COMERCIO;9337.63600
"00000209;MORCILLON CON LENGUA;41;L41 ENV AL VACIO;127.57851
"00000209;MORCILLON CON LENGUA;55;L55 MARTIN LISTA;8179.83100
"00000209;MORCILLON CON LENGUA;2;L2 VILLARINO;9337.63600
"00000209;MORCILLON CON LENGUA;52;PM MEAT CHAIN BONARENSE;8260.29600
"00000209;MORCILLON CON LENGUA;4;L3 P ALTA/SIERRA/MONTE;9337.63600
"00000210;LEBER WURST;1;L1 COMERCIO;0.00000
"00000210;LEBER WURST;26;L60 TOTO SAPORE;24915.63800
"00000210;LEBER WURST;55;L55 MARTIN LISTA;0.00000
"00000210;LEBER WURST;2;L2 VILLARINO;0.00000
"00000210;LEBER WURST;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000210;LEBER WURST;52;PM MEAT CHAIN BONARENSE;0.00000
"00000210;LEBER WURST;53;MD;0.00000
"00000210;LEBER WURST;54;USUARIO FAENA  BBCA;1.00000
"00000210;LEBER WURST;41;L41 ENV AL VACIO;235.60950
"00000211;SALCHICHA DE VIENA;54;USUARIO FAENA  BBCA;0.00000
"00000211;SALCHICHA DE VIENA;1;L1 COMERCIO;15123.96694
"00000211;SALCHICHA DE VIENA;41;L41 ENV AL VACIO;226.81818
"00000211;SALCHICHA DE VIENA;55;L55 MARTIN LISTA;12178.58400
"00000211;SALCHICHA DE VIENA;2;L2 VILLARINO;15123.96694
"00000211;SALCHICHA DE VIENA;52;PM MEAT CHAIN BONARENSE;12298.00000
"00000211;SALCHICHA DE VIENA;4;L3 P ALTA/SIERRA/MONTE;15123.96694
"00000211;SALCHICHA DE VIENA;53;MD;0.00000
"00000211;SALCHICHA DE VIENA;26;L60 TOTO SAPORE;45011.97800
"00000212;NAKUS;2;L2 VILLARINO;14297.52066
"00000212;NAKUS;52;PM MEAT CHAIN BONARENSE;12298.00000
"00000212;NAKUS;4;L3 P ALTA/SIERRA/MONTE;14297.52066
"00000212;NAKUS;53;MD;0.00000
"00000212;NAKUS;26;L60 TOTO SAPORE;45011.97800
"00000212;NAKUS;54;USUARIO FAENA  BBCA;1.00000
"00000212;NAKUS;1;L1 COMERCIO;14297.52066
"00000212;NAKUS;41;L41 ENV AL VACIO;226.82100
"00000212;NAKUS;55;L55 MARTIN LISTA;12178.58400
"00000213;HAMBURGUESA * 4;54;USUARIO FAENA  BBCA;1.00000
"00000213;HAMBURGUESA * 4;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000213;HAMBURGUESA * 4;52;PM MEAT CHAIN BONARENSE;0.00000
"00000213;HAMBURGUESA * 4;41;L41 ENV AL VACIO;0.00000
"00000213;HAMBURGUESA * 4;26;L60 TOTO SAPORE;0.00000
"00000213;HAMBURGUESA * 4;53;MD;0.00000
"00000213;HAMBURGUESA * 4;55;L55 MARTIN LISTA;0.00000
"00000213;HAMBURGUESA * 4;1;L1 COMERCIO;0.00000
"00000213;HAMBURGUESA * 4;2;L2 VILLARINO;0.00000
"00000214;HAMBURGUESA * KG;4;L3 P ALTA/SIERRA/MONTE;9330.57851
"00000214;HAMBURGUESA * KG;53;MD;0.00000
"00000214;HAMBURGUESA * KG;26;L60 TOTO SAPORE;24603.09500
"00000214;HAMBURGUESA * KG;54;USUARIO FAENA  BBCA;0.00000
"00000214;HAMBURGUESA * KG;1;L1 COMERCIO;9330.57851
"00000214;HAMBURGUESA * KG;41;L41 ENV AL VACIO;0.00000
"00000214;HAMBURGUESA * KG;55;L55 MARTIN LISTA;9823.91300
"00000214;HAMBURGUESA * KG;2;L2 VILLARINO;9330.57851
"00000214;HAMBURGUESA * KG;52;PM MEAT CHAIN BONARENSE;14515.20400
"00000215;HAMBURGUESAS * 8;52;PM MEAT CHAIN BONARENSE;0.00000
"00000215;HAMBURGUESAS * 8;53;MD;0.00000
"00000215;HAMBURGUESAS * 8;1;L1 COMERCIO;0.00000
"00000215;HAMBURGUESAS * 8;54;USUARIO FAENA  BBCA;1.00000
"00000215;HAMBURGUESAS * 8;2;L2 VILLARINO;0.00000
"00000215;HAMBURGUESAS * 8;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000215;HAMBURGUESAS * 8;26;L60 TOTO SAPORE;0.00000
"00000215;HAMBURGUESAS * 8;55;L55 MARTIN LISTA;0.00000
"00000215;HAMBURGUESAS * 8;41;L41 ENV AL VACIO;141.75000
"00000216;LONGANIZA ESPA¥OLA;54;USUARIO FAENA  BBCA;0.00000
"00000216;LONGANIZA ESPA¥OLA;1;L1 COMERCIO;17692.35600
"00000216;LONGANIZA ESPA¥OLA;41;L41 ENV AL VACIO;352.04400
"00000216;LONGANIZA ESPA¥OLA;55;L55 MARTIN LISTA;17230.14700
"00000216;LONGANIZA ESPA¥OLA;2;L2 VILLARINO;17692.35600
"00000216;LONGANIZA ESPA¥OLA;52;PM MEAT CHAIN BONARENSE;15785.74800
"00000216;LONGANIZA ESPA¥OLA;4;L3 P ALTA/SIERRA/MONTE;17692.35600
"00000216;LONGANIZA ESPA¥OLA;53;MD;0.00000
"00000216;LONGANIZA ESPA¥OLA;26;L60 TOTO SAPORE;61870.47900
"00000218;RIOJANITOS;4;L3 P ALTA/SIERRA/MONTE;17692.35600
"00000218;RIOJANITOS;53;MD;0.00000
"00000218;RIOJANITOS;26;L60 TOTO SAPORE;61870.47900
"00000218;RIOJANITOS;54;USUARIO FAENA  BBCA;0.00000
"00000218;RIOJANITOS;1;L1 COMERCIO;17692.35600
"00000218;RIOJANITOS;41;L41 ENV AL VACIO;352.04400
"00000218;RIOJANITOS;55;L55 MARTIN LISTA;17230.14700
"00000218;RIOJANITOS;2;L2 VILLARINO;17692.35600
"00000218;RIOJANITOS;52;PM MEAT CHAIN BONARENSE;15785.74800
"00000219;PANCETA SALADA;54;USUARIO FAENA  BBCA;1.00000
"00000219;PANCETA SALADA;1;L1 COMERCIO;18081.81100
"00000219;PANCETA SALADA;41;L41 ENV AL VACIO;379.20750
"00000219;PANCETA SALADA;55;L55 MARTIN LISTA;17995.40600
"00000219;PANCETA SALADA;2;L2 VILLARINO;18081.81100
"00000219;PANCETA SALADA;52;PM MEAT CHAIN BONARENSE;18172.27500
"00000219;PANCETA SALADA;4;L3 P ALTA/SIERRA/MONTE;18081.81100
"00000219;PANCETA SALADA;53;MD;0.00000
"00000219;PANCETA SALADA;26;L60 TOTO SAPORE;61870.47900
"00000220;PANCETA AHUMADA;55;L55 MARTIN LISTA;14221.71300
"00000220;PANCETA AHUMADA;2;L2 VILLARINO;19936.36700
"00000220;PANCETA AHUMADA;52;PM MEAT CHAIN BONARENSE;12704.08700
"00000220;PANCETA AHUMADA;4;L3 P ALTA/SIERRA/MONTE;19936.36700
"00000220;PANCETA AHUMADA;53;MD;0.00000
"00000220;PANCETA AHUMADA;26;L60 TOTO SAPORE;0.00000
"00000220;PANCETA AHUMADA;54;USUARIO FAENA  BBCA;0.00000
"00000220;PANCETA AHUMADA;1;L1 COMERCIO;19936.36700
"00000220;PANCETA AHUMADA;41;L41 ENV AL VACIO;0.00000
"00000222;BONDIOLA;4;L3 P ALTA/SIERRA/MONTE;21525.70200
"00000222;BONDIOLA;53;MD;0.00000
"00000222;BONDIOLA;26;L60 TOTO SAPORE;64304.98800
"00000222;BONDIOLA;54;USUARIO FAENA  BBCA;1.00000
"00000222;BONDIOLA;1;L1 COMERCIO;21525.70200
"00000222;BONDIOLA;41;L41 ENV AL VACIO;590.62810
"00000222;BONDIOLA;55;L55 MARTIN LISTA;18417.38800
"00000222;BONDIOLA;2;L2 VILLARINO;21525.70200
"00000222;BONDIOLA;52;PM MEAT CHAIN BONARENSE;18598.60200
"00000223;JAMON CON HUESO;1;L1 COMERCIO;28504.36600
"00000223;JAMON CON HUESO;41;L41 ENV AL VACIO;466.71450
"00000223;JAMON CON HUESO;55;L55 MARTIN LISTA;19013.33500
"00000223;JAMON CON HUESO;2;L2 VILLARINO;28504.36600
"00000223;JAMON CON HUESO;52;PM MEAT CHAIN BONARENSE;19200.04900
"00000223;JAMON CON HUESO;4;L3 P ALTA/SIERRA/MONTE;28504.36600
"00000223;JAMON CON HUESO;53;MD;0.00000
"00000223;JAMON CON HUESO;26;L60 TOTO SAPORE;64304.98800
"00000223;JAMON CON HUESO;54;USUARIO FAENA  BBCA;1.00000
"00000224;JAMON LISTO MAQUINA;55;L55 MARTIN LISTA;21729.52100
"00000224;JAMON LISTO MAQUINA;2;L2 VILLARINO;35008.27000
"00000224;JAMON LISTO MAQUINA;52;PM MEAT CHAIN BONARENSE;18779.94800
"00000224;JAMON LISTO MAQUINA;4;L3 P ALTA/SIERRA/MONTE;35008.27000
"00000224;JAMON LISTO MAQUINA;53;MD;0.00000
"00000224;JAMON LISTO MAQUINA;26;L60 TOTO SAPORE;70732.89300
"00000224;JAMON LISTO MAQUINA;54;USUARIO FAENA  BBCA;1.00000
"00000224;JAMON LISTO MAQUINA;1;L1 COMERCIO;35008.27000
"00000224;JAMON LISTO MAQUINA;41;L41 ENV AL VACIO;472.29000
"00000225;SALAME MILAN;26;L60 TOTO SAPORE;30545.50400
"00000225;SALAME MILAN;54;USUARIO FAENA  BBCA;0.00000
"00000225;SALAME MILAN;1;L1 COMERCIO;16709.46200
"00000225;SALAME MILAN;41;L41 ENV AL VACIO;275.90850
"00000225;SALAME MILAN;55;L55 MARTIN LISTA;14313.39800
"00000225;SALAME MILAN;2;L2 VILLARINO;16709.46200
"00000225;SALAME MILAN;52;PM MEAT CHAIN BONARENSE;14454.91300
"00000225;SALAME MILAN;4;L3 P ALTA/SIERRA/MONTE;16709.46200
"00000225;SALAME MILAN;53;MD;0.00000
"00000226;CANTIMPALO;2;L2 VILLARINO;16709.46200
"00000226;CANTIMPALO;52;PM MEAT CHAIN BONARENSE;14454.91300
"00000226;CANTIMPALO;4;L3 P ALTA/SIERRA/MONTE;16709.46200
"00000226;CANTIMPALO;53;MD;0.00000
"00000226;CANTIMPALO;26;L60 TOTO SAPORE;30545.50400
"00000226;CANTIMPALO;54;USUARIO FAENA  BBCA;0.00000
"00000226;CANTIMPALO;1;L1 COMERCIO;16709.46200
"00000226;CANTIMPALO;41;L41 ENV AL VACIO;275.90850
"00000226;CANTIMPALO;55;L55 MARTIN LISTA;14313.39800
