Sku;Producto;Precio;;;;;;;;;;;;;;;;;;;;
1322;AGROPOL 100X4X100 NEGRO -sin stock; $81020.50;;;;;;;;;;;;;;;;;;;;
1320;AGROPOL CRISTAL 200X3X50; $120981.50;;;;;;;;;;;;;;;;;;;;
1321;AGROPOL CRISTAL 200X4X50; $161308.50;;;;;;;;;;;;;;;;;;;;
969;AGROPOL NEGRO 200X3X50; $60765.50;;;;;;;;;;;;;;;;;;;;
970;AGROPOL NEGRO 200X4X50 -sin stock; $81020.50;;;;;;;;;;;;;;;;;;;;
971;AGROPOL NEGRO 200X6X50; $133682.75;;;;;;;;;;;;;;;;;;;;
1955;Aislante térmico para camping EVA + aluminio; $10540.75;;;;;;;;;;;;;;;;;;;;
1181;ALAMBRE RECOCIDO N17 X 1kg; $3850.00;;;;;;;;;;;;;;;;;;;;
1923;Alguicida 1L PQN; $2980.00;;;;;;;;;;;;;;;;;;;;
1924;Alguicida 5L PQN; $14550.00;;;;;;;;;;;;;;;;;;;;
1779;ALIC - DISCO DE CORTE SIERRA CIRCULAR P/MADERA 20/40 DIENTES; $4901.25;;;;;;;;;;;;;;;;;;;;
1764;ALIC - LAMP. PERF. CL. 15W E14; $784.75;;;;;;;;;;;;;;;;;;;;
1483;ALIC - LAMP. PERF. CL. 25W E14 - sin stock; $742.25;;;;;;;;;;;;;;;;;;;;
1763;ALIC - LAMP. PERF. SATIN. 15W E14; $784.75;;;;;;;;;;;;;;;;;;;;
1808;ALICATE 6 BAROVO; $6987.75;;;;;;;;;;;;;;;;;;;;
782;Alicate 6 udovo -sin stock; $6987.75;;;;;;;;;;;;;;;;;;;;
1018;ALICATE CORT. DIG. N6 TRUPER; $6971.50;;;;;;;;;;;;;;;;;;;;
599;AMOLADORA 178 MM 1200 W ALEBA -sin stock; $69381.50;;;;;;;;;;;;;;;;;;;;
468;AMOLADORA ALEBA 115 -sin stock; $40991.00;;;;;;;;;;;;;;;;;;;;
467;AMOLADORA ALEBA 230 -sin stock; $75642.50;;;;;;;;;;;;;;;;;;;;
1235;Amoladora angular 4 1/2 - Ion litio; $80200.50;;;;;;;;;;;;;;;;;;;;
503;Amoladora de banco 250 W - BAROVO; $71034.75;;;;;;;;;;;;;;;;;;;;
1058;Amoladora de banco 550 W - BAROVO-; $77007.50;;;;;;;;;;;;;;;;;;;;
1608;Amoladora de banco con mini torno flexible -sin stock; $70858.25;;;;;;;;;;;;;;;;;;;;
1122;Amoladora eléctrica Barovo 4 1/2 600 W -sin stock; $51328.25;;;;;;;;;;;;;;;;;;;;
1688;Amoladora eléctrica Barovo 4 1/2 750 W; $62144.00;;;;;;;;;;;;;;;;;;;;
1647;Amoladora eléctrica Barovo 7 2000 W; $181500.00;;;;;;;;;;;;;;;;;;;;
1283;Amoladora eléctrica Barovo 9 2300 W; $218756.00;;;;;;;;;;;;;;;;;;;;
2082;Amoladora recta 1/4 BAROVO; $25613.50;;;;;;;;;;;;;;;;;;;;
1435;Anafe camping con protección contra viento-KUSHIRO; $16698.00;;;;;;;;;;;;;;;;;;;;
1436;Anafe dual portátil para camping-KUSHIRO; $27860.25;;;;;;;;;;;;;;;;;;;;
1585;Anafe eléctrico 1 hornalla 1000 W; $20055.75;;;;;;;;;;;;;;;;;;;;
1584;Anafe eléctrico 2 hornalla - 1500W y 1000 W; $40020.75;;;;;;;;;;;;;;;;;;;;
1305;ANDAMIO PORTATIL-PLEGABLE; $269549.50;;;;;;;;;;;;;;;;;;;;
1629;ANTEOJO DE SEGURIDAD AMARILLO; $1650.00;;;;;;;;;;;;;;;;;;;;
1630;ANTEOJO DE SEGURIDAD NEGRO; $1650.00;;;;;;;;;;;;;;;;;;;;
1631;ANTEOJO MULTIUSO TRANSP. C/PATILLAS NEGRAS; $1650.00;;;;;;;;;;;;;;;;;;;;
993;ANTIDESLIZANTE FOSF.BA.25MMX3MT-GEKO; $25029.75;;;;;;;;;;;;;;;;;;;;
1583;Aparejo eléctrico 1000 kg; $497250.00;;;;;;;;;;;;;;;;;;;;
1582;Aparejo eléctrico 500 kg; $240337.50;;;;;;;;;;;;;;;;;;;;
1409;ARCO NIVELADOR PORCELANATO(X100UN); $25.50;;;;;;;;;;;;;;;;;;;;
1303;ARRANCADOR UNIV. P/TUBO LED FS-U 4-80W; $446.51;;;;;;;;;;;;;;;;;;;;
1314;Asiento inodoro HDF línea Jucar herrajes metálicos; $25908.75;;;;;;;;;;;;;;;;;;;;
1645;Asiento inodoro HDF línea Loira herrajes metálicos; $30976.00;;;;;;;;;;;;;;;;;;;;
1081;Asiento inodoro HDF línea Miño herrajes plásticos-sin stock-; $25114.25;;;;;;;;;;;;;;;;;;;;
1080;Aspersor de impulso con estaca PLASTICA -sin stock; $5859.26;;;;;;;;;;;;;;;;;;;;
1586;Aspersor de impulso metálico con estaca; $12265.50;;;;;;;;;;;;;;;;;;;;
801;Aspersor giratorio con ruedas -sin stock; $4392.50;;;;;;;;;;;;;;;;;;;;
2102;Atornillador eléctrico para placas de yeso; $67826.75;;;;;;;;;;;;;;;;;;;;
1074;Auricular Bluetooth in-ear blanco - sin stock; $25481.00;;;;;;;;;;;;;;;;;;;;
1746;Automatico p/tanque cable 1.5mt. AT15; $7124.00;;;;;;;;;;;;;;;;;;;;
113;B. Monolente rigido de vanguardia Negro K; $2082.26;;;;;;;;;;;;;;;;;;;;
111;B. Monolente rigido de vanguardia transparente K; $2069.00;;;;;;;;;;;;;;;;;;;;
1812;BACHA BAMBU OVAL 60x40x14.6CM -sin stock; $297660.00;;;;;;;;;;;;;;;;;;;;
1813;BACHA BAMBU RECTANGULAR 48x35.5x10.2CM -sin stock; $286770.00;;;;;;;;;;;;;;;;;;;;
1814;BACHA BAMBU REDONDA 35x13.5CM -sin stock; $156090.00;;;;;;;;;;;;;;;;;;;;
1882;Bacha oval negra - sin stock; $98917.50;;;;;;;;;;;;;;;;;;;;
1880;Bacha rectangular monocomando -sin stock; $89842.50;;;;;;;;;;;;;;;;;;;;
1881;Bacha redonda vasija -sin stock; $74415.00;;;;;;;;;;;;;;;;;;;;
1626;BAJO PUERTA ARENA; $840.00;;;;;;;;;;;;;;;;;;;;
987;BAJO PUERTA DOBLE 95CM-GEKO -sin stock; $9880.50;;;;;;;;;;;;;;;;;;;;
1446;Bajo Puerta Doble de Cuerina 80cm.; $1596.00;;;;;;;;;;;;;;;;;;;;
1625;Bajo Puerta Doble de Cuerina 85cm.; $1647.50;;;;;;;;;;;;;;;;;;;;
1447;Bajo Puerta Doble de Cuerina 90cm.; $1621.75;;;;;;;;;;;;;;;;;;;;
1470;Balanza 500Kg.; $99496.25;;;;;;;;;;;;;;;;;;;;
1467;Balanza digital hasta 50Kg.; $7341.00;;;;;;;;;;;;;;;;;;;;
966;BANDEJA PARA COLGAR; $828.00;;;;;;;;;;;;;;;;;;;;
967;BANDEJA PLANA P/PINTURA; $829.75;;;;;;;;;;;;;;;;;;;;
747;Banqueta Esc alum 3 esc 64cm KMB103; $63706.50;;;;;;;;;;;;;;;;;;;;
1671;Barbijo liviano nacional 502; $179.25;;;;;;;;;;;;;;;;;;;;
194;Barbijo tipo quirúrgico con tiras para ajustar -; $980.25;;;;;;;;;;;;;;;;;;;;
1523;BARNIZ SMART PAINT AA UG 350ML/250G; $3551.00;;;;;;;;;;;;;;;;;;;;
1468;Barra de silicona Fina 1Kg.; $14419.75;;;;;;;;;;;;;;;;;;;;
1469;Barra de silicona Gruesa 1Kg.; $14419.75;;;;;;;;;;;;;;;;;;;;
1177;BARRAL EXTENSIBLE 2MT PARA DUCHA; $9184.75;;;;;;;;;;;;;;;;;;;;
1065;BARRAL MADERA 1.60X22MM; $1671.50;;;;;;;;;;;;;;;;;;;;
1066;BARRAL MADERA 1.80X22MM; $1880.50;;;;;;;;;;;;;;;;;;;;
1067;BARRAL MADERA 2.00X22MM; $2089.25;;;;;;;;;;;;;;;;;;;;
1068;BARRAL MADERA 2.20X22MM; $2298.25;;;;;;;;;;;;;;;;;;;;
1069;BARRAL MADERA 2.40MTX22MM; $2507.25;;;;;;;;;;;;;;;;;;;;
1281;Barral recto para cortina de baño AL25; $10540.75;;;;;;;;;;;;;;;;;;;;
1317;BARRE HOJAS METÁLICO EXTENSIBLE; $9383.25;;;;;;;;;;;;;;;;;;;;
1190;BARRE HOJAS PLAST. SUPER A/31 EL PARQUE 30; $1753.25;;;;;;;;;;;;;;;;;;;;
1189;BARRE HOJAS PLASTICO A/23 EL PARQUE -40; $1311.75;;;;;;;;;;;;;;;;;;;;
906;BASE ESTANCO DE SUPERF.BCO - 40021 -sin stock; $1495.00;;;;;;;;;;;;;;;;;;;;
903;BASTIDOR MIGNONP/CAJ 5X5-15081 -sin stock; $241.50;;;;;;;;;;;;;;;;;;;;
844;BASTIDOR RECT. 10X5 15080; $276.00;;;;;;;;;;;;;;;;;;;;
439;Bastón luminoso LED-sin stock; $7786.50;;;;;;;;;;;;;;;;;;;;
871;BATERIA 2025 BLISTER X 5UN.; $3984.00;;;;;;;;;;;;;;;;;;;;
87;BATERIA 2032 -sin stock; $3984.00;;;;;;;;;;;;;;;;;;;;
88;BATERIA 9V -sin stock; $3515.75;;;;;;;;;;;;;;;;;;;;
91;BATERIA A23-valor por blister; $10527.00;;;;;;;;;;;;;;;;;;;;
872;BATERIA A27 X1UN. -sin stock; $1724.25;;;;;;;;;;;;;;;;;;;;
1236;Batería 2000 mAh P/ION LITIO; $49953.50;;;;;;;;;;;;;;;;;;;;
1231;Batería 4000 mAh P/ION LITIO; $83041.75;;;;;;;;;;;;;;;;;;;;
1883;Bidet de 1 agujero para Monocomando Níger -sin stock; $61710.00;;;;;;;;;;;;;;;;;;;;
1405;Bidón de chapa 10 l -sin stock; $31438.75;;;;;;;;;;;;;;;;;;;;
1406;Bidón de chapa 20 l -sin stock; $43262.50;;;;;;;;;;;;;;;;;;;;
