Sku;Producto;Precio;;;;;;;;;;;;;;;;;;;;
2008;CABLE UNIP. FLEX 1X1.5 PRYSMIAN NEGRO; $68423.50;;;;;;;;;;;;;;;;;;;;
2006;CABLE UNIP. FLEX 1X1.5 PRYSMIAN ROJO; $68423.50;;;;;;;;;;;;;;;;;;;;
2015;CABLE UNIP. FLEX 1X2.5 PRYSMIAN AM/VER; $109053.75;;;;;;;;;;;;;;;;;;;;
2011;CABLE UNIP. FLEX 1X2.5 PRYSMIAN BLANCO; $109053.75;;;;;;;;;;;;;;;;;;;;
2012;CABLE UNIP. FLEX 1X2.5 PRYSMIAN CELESTE; $109053.75;;;;;;;;;;;;;;;;;;;;
2014;CABLE UNIP. FLEX 1X2.5 PRYSMIAN MARRON; $109053.75;;;;;;;;;;;;;;;;;;;;
1654;CABLE UNIP. FLEX 1X2.5 PRYSMIAN NEGRO; $109053.75;;;;;;;;;;;;;;;;;;;;
2013;CABLE UNIP. FLEX 1X2.5 PRYSMIAN ROJO; $109053.75;;;;;;;;;;;;;;;;;;;;
2019;CABLE UNIP. FLEX 1X4 PRYSMIAN AM/VER; $169542.25;;;;;;;;;;;;;;;;;;;;
2016;CABLE UNIP. FLEX 1X4 PRYSMIAN BLANCO; $169542.25;;;;;;;;;;;;;;;;;;;;
1655;CABLE UNIP. FLEX 1X4 PRYSMIAN CELESTE; $169542.25;;;;;;;;;;;;;;;;;;;;
2018;CABLE UNIP. FLEX 1X4 PRYSMIAN MARRON; $169542.25;;;;;;;;;;;;;;;;;;;;
2020;CABLE UNIP. FLEX 1X4 PRYSMIAN NEGRO; $169542.25;;;;;;;;;;;;;;;;;;;;
2017;CABLE UNIP. FLEX 1X4 PRYSMIAN ROJO; $169542.25;;;;;;;;;;;;;;;;;;;;
1994;CABLE UNIPOLAR 1 X 1-R/100mt CELESTE; $26577.50;;;;;;;;;;;;;;;;;;;;
1995;CABLE UNIPOLAR 1 X 1-R/100mt VERDE; $26577.50;;;;;;;;;;;;;;;;;;;;
1996;CABLE UNIPOLAR 1 X 1-R/100mt. MARRON; $26577.50;;;;;;;;;;;;;;;;;;;;
1997;CABLE UNIPOLAR 1 X 1-R/100mt. NEGRO; $26577.50;;;;;;;;;;;;;;;;;;;;
1993;CABLE UNIPOLAR 1 X 1-R/100mt. ROJO; $26577.50;;;;;;;;;;;;;;;;;;;;
1668;CABLE UNIPOLAR 1 X 1-R/100mt.-BLANCO; $26577.50;;;;;;;;;;;;;;;;;;;;
1211;CABLE UNIPOLAR 1 X 1.5-R/100mt.- BLANCO; $36242.00;;;;;;;;;;;;;;;;;;;;
1977;CABLE UNIPOLAR 1 X 1.5-R/100mt.- CELESTE; $36242.00;;;;;;;;;;;;;;;;;;;;
1979;CABLE UNIPOLAR 1 X 1.5-R/100mt.- MARRON; $36242.00;;;;;;;;;;;;;;;;;;;;
1980;CABLE UNIPOLAR 1 X 1.5-R/100mt.- NEGRO; $36242.00;;;;;;;;;;;;;;;;;;;;
1976;CABLE UNIPOLAR 1 X 1.5-R/100mt.- ROJO; $36242.00;;;;;;;;;;;;;;;;;;;;
1978;CABLE UNIPOLAR 1 X 1.5-R/100mt.- VERDE; $36242.00;;;;;;;;;;;;;;;;;;;;
1212;CABLE UNIPOLAR 1X2.5-R/x100mts BLANCO; $53878.50;;;;;;;;;;;;;;;;;;;;
1982;CABLE UNIPOLAR 1X2.5-R/x100mts CELESTE; $53878.50;;;;;;;;;;;;;;;;;;;;
1984;CABLE UNIPOLAR 1X2.5-R/x100mts MARRON; $53878.50;;;;;;;;;;;;;;;;;;;;
1985;CABLE UNIPOLAR 1X2.5-R/x100mts NEGRO; $53878.50;;;;;;;;;;;;;;;;;;;;
1981;CABLE UNIPOLAR 1X2.5-R/x100mts ROJO; $53878.50;;;;;;;;;;;;;;;;;;;;
1983;CABLE UNIPOLAR 1X2.5-R/x100mts VERDE; $53878.50;;;;;;;;;;;;;;;;;;;;
1213;CABLE UNIPOLAR 1X4 -R/x100mts BLANCO; $93504.25;;;;;;;;;;;;;;;;;;;;
1987;CABLE UNIPOLAR 1X4 -R/x100mts CELESTE; $93504.25;;;;;;;;;;;;;;;;;;;;
1989;CABLE UNIPOLAR 1X4 -R/x100mts MARRON; $93504.25;;;;;;;;;;;;;;;;;;;;
1990;CABLE UNIPOLAR 1X4 -R/x100mts NEGRO; $93504.25;;;;;;;;;;;;;;;;;;;;
1986;CABLE UNIPOLAR 1X4 -R/x100mts ROJO; $93504.25;;;;;;;;;;;;;;;;;;;;
1988;CABLE UNIPOLAR 1X4 -R/x100mts VERDE; $93504.25;;;;;;;;;;;;;;;;;;;;
1992;CABLE UNIPOLAR 1X6 - R/x100mts BLANCO; $140135.50;;;;;;;;;;;;;;;;;;;;
1214;CABLE UNIPOLAR 1X6 - R/x100mts CELESTE; $140135.50;;;;;;;;;;;;;;;;;;;;
2004;CABLE UNIPOLAR 1X6 - R/x100mts MARRON; $140135.50;;;;;;;;;;;;;;;;;;;;
2005;CABLE UNIPOLAR 1X6 - R/x100mts NEGRO; $140135.50;;;;;;;;;;;;;;;;;;;;
1991;CABLE UNIPOLAR 1X6 - R/x100mts ROJO; $140135.50;;;;;;;;;;;;;;;;;;;;
100;CABLECANAL C/ADHESIVO 14X7; $565.00;;;;;;;;;;;;;;;;;;;;
102;CABLECANAL C/ADHESIVO 18X21; $1179.00;;;;;;;;;;;;;;;;;;;;
101;CABLECANAL C/ADHESIVO 20X10; $692.25;;;;;;;;;;;;;;;;;;;;
103;CABLECANAL C/ADHESIVO 30X10; $1606.75;;;;;;;;;;;;;;;;;;;;
1789;CABO DE AZADA 1.50; $3185.50;;;;;;;;;;;;;;;;;;;;
1793;CABO DE CEPILLO BARRENDERO CON PUNTA ROSCADA; $1192.50;;;;;;;;;;;;;;;;;;;;
1788;CABO DE HACHA DE 90; $2042.00;;;;;;;;;;;;;;;;;;;;
1423;Cabo de madera 1,2mt.; $516.75;;;;;;;;;;;;;;;;;;;;
1424;Cabo de madera 1,5mt.; $763.50;;;;;;;;;;;;;;;;;;;;
1792;CABO DE MAZA DE 30; $340.50;;;;;;;;;;;;;;;;;;;;
1786;CABO DE PALA 70 EMPUÑADURA METÁLICA; $1552.00;;;;;;;;;;;;;;;;;;;;
1787;CABO DE PALA 70 EMPUÑADURA PLÁSTICA; $1437.50;;;;;;;;;;;;;;;;;;;;
2075;CABO DE PICO DE 90; $2450.25;;;;;;;;;;;;;;;;;;;;
1790;CABO DE RASTILLO 1.35; $2123.75;;;;;;;;;;;;;;;;;;;;
1791;CABO DE RASTRILLO 1.50; $2450.25;;;;;;;;;;;;;;;;;;;;
874;Cadena plástica negra y amarilla--sin stock-; $34303.50;;;;;;;;;;;;;;;;;;;;
866;Caja capsulada armada 1 punto MIG; $1963.75;;;;;;;;;;;;;;;;;;;;
867;Caja capsulada armada 1 punto y toma; $3696.50;;;;;;;;;;;;;;;;;;;;
865;Caja capsulada armada 1 toma MIG; $2151.00;;;;;;;;;;;;;;;;;;;;
1030;Caja de grampas 32 mm para BEC21; $20164.75;;;;;;;;;;;;;;;;;;;;
1031;Caja de grampas 40 mm para BEC21; $23831.00;;;;;;;;;;;;;;;;;;;;
783;Caja de herramientas de 17 plástica con cierre metálico-sin stock-; $29766.00;;;;;;;;;;;;;;;;;;;;
1564;Caja de herramientas metálica tipo fuelle de 85 piezas -sin stock; $310201.75;;;;;;;;;;;;;;;;;;;;
1656;CAJA EMB. MIGNION 5X5 KALOP; $428.25;;;;;;;;;;;;;;;;;;;;
1274;CAJA EMB. OCTOGO CHICA AZ/GRIS -KALOP; $432.00;;;;;;;;;;;;;;;;;;;;
892;caja embutir octogonal -sin stock; $418.25;;;;;;;;;;;;;;;;;;;;
86;CAJA EMBUTIR RECTANGULAR; $418.25;;;;;;;;;;;;;;;;;;;;
613;Caja metálica con doble bandeja 21 NEGRA- BAROVO-sin stock-; $77682.00;;;;;;;;;;;;;;;;;;;;
1193;Caja organizadora 10 compartimientos; $1265.00;;;;;;;;;;;;;;;;;;;;
1194;Caja organizadora 14 compartimientos y bandeja -sin stock; $5957.75;;;;;;;;;;;;;;;;;;;;
1195;Caja organizadora 18 compartimientos-sin stock; $5499.50;;;;;;;;;;;;;;;;;;;;
1196;Caja organizadora redonda 8 compartimientos; $696.75;;;;;;;;;;;;;;;;;;;;
725;Caja Replast Herram. 2187/cf25 12½organ.box; $4503.25;;;;;;;;;;;;;;;;;;;;
726;Caja Replast Herram. 2189/cf27 16organ.box -sin stock; $6113.00;;;;;;;;;;;;;;;;;;;;
727;Caja Replast Herram. 2191/cf43 20organ.box; $9833.00;;;;;;;;;;;;;;;;;;;;
815;Calculadora 12 dígitos-sin stock-; $4174.50;;;;;;;;;;;;;;;;;;;;
1331;CALIBRE PLASTICO 15CM -sin stock; $1209.75;;;;;;;;;;;;;;;;;;;;
1337;CALOVENTOR LILIANA BCO. HOTWIND - CFH417; $31630.75;;;;;;;;;;;;;;;;;;;;
1338;CALOVENTOR LILIANA BCO. MINISOL - CFH400; $26874.24;;;;;;;;;;;;;;;;;;;;
1797;CAMPANILLA EXT.ECONOMICO 10x10 102; $22514.25;;;;;;;;;;;;;;;;;;;;
1408;CANDADO 20mm ECO.; $1606.00;;;;;;;;;;;;;;;;;;;;
148;Candado 30 mm bronce BAROVO; $3684.50;;;;;;;;;;;;;;;;;;;;
254;CANDADO 32mm ECO.; $2369.50;;;;;;;;;;;;;;;;;;;;
149;Candado 40 mm bronce BAROVO; $5808.00;;;;;;;;;;;;;;;;;;;;
255;CANDADO 40mm ECO.; $2802.25;;;;;;;;;;;;;;;;;;;;
150;Candado 50 mm bronce BAROVO; $9710.25;;;;;;;;;;;;;;;;;;;;
256;CANDADO 50mm ECO.; $4178.50;;;;;;;;;;;;;;;;;;;;
151;Candado 60 mm bronce BAROVO; $14247.75;;;;;;;;;;;;;;;;;;;;
257;CANDADO 60mm ECO.; $5751.75;;;;;;;;;;;;;;;;;;;;
152;Candado perno horizontal 80 mm BAROVO; $9438.00;;;;;;;;;;;;;;;;;;;;
1933;CANILLA ESF. METALICA 1 GLOSS; $6820.75;;;;;;;;;;;;;;;;;;;;
1931;CANILLA ESF. METALICA 1/2 GLOSS; $3232.25;;;;;;;;;;;;;;;;;;;;
1932;CANILLA ESF. METALICA 3/4 GLOSS; $4576.25;;;;;;;;;;;;;;;;;;;;
2104;Cargador 2 puertos USB 2.4 A; $3116.50;;;;;;;;;;;;;;;;;;;;
1059;Cargador de baterías 25 A con auto stop -sin stock; $110905.75;;;;;;;;;;;;;;;;;;;;
534;Cargador de baterías 40 A con auto stop -sin stock; $130680.00;;;;;;;;;;;;;;;;;;;;
1237;Cargador para baterías de ion litio; $22364.50;;;;;;;;;;;;;;;;;;;;
362;CARGADOR PILA (AAA-AA-BATERIA); $1845.25;;;;;;;;;;;;;;;;;;;;
463;CARGADOR USB 1 PUERTO; $2291.50;;;;;;;;;;;;;;;;;;;;
392;Carpa para 4 personas Uritorco -sin stock; $63071.25;;;;;;;;;;;;;;;;;;;;
1168;CARRO/ZORRA P/PINTURA; $104073.50;;;;;;;;;;;;;;;;;;;;
1581;CARRO/ZORRA P/PINTURA LATA 20LTS.; $70100.75;;;;;;;;;;;;;;;;;;;;
1871;Cartucho Cerámico de 35mm GLOA; $3176.25;;;;;;;;;;;;;;;;;;;;
1872;Cartucho Cerámico de 40mm GLOA; $3902.25;;;;;;;;;;;;;;;;;;;;
315;CARTUCHO GAS BUTANO; $2909.00;;;;;;;;;;;;;;;;;;;;
1837;Casco urban blanco T. M/S -sin stock; $25283.00;;;;;;;;;;;;;;;;;;;;
1838;Casco urban titanium T. L/M/S -sin stock; $25410.00;;;;;;;;;;;;;;;;;;;;
1835;Caseta mediana perro exterior -sin stock; $140844.00;;;;;;;;;;;;;;;;;;;;
1613;CAÑO CRISTAL PVC 12X15X50Mt. (valor por metro); $414.00;;;;;;;;;;;;;;;;;;;;
1614;CAÑO CRISTAL PVC 16X20X50Mt. (valor por metro); $727.25;;;;;;;;;;;;;;;;;;;;
1615;CAÑO CRISTAL PVC 19X25X50Mt. (valor por metro); $1248.25;;;;;;;;;;;;;;;;;;;;
1597;CAÑO CRISTAL PVC 9X12X50Mt. (valor por metro); $315.75;;;;;;;;;;;;;;;;;;;;
884;CAÑO DE RIEGO AZUL TRASL. 13MM-VAL XMT; $556.75;;;;;;;;;;;;;;;;;;;;
885;CAÑO DE RIEGO AZUL TRASL. 19MM-VAL X MT; $1113.25;;;;;;;;;;;;;;;;;;;;
886;CAÑO DE RIEGO AZUL TRASL. 25MM-VALOR X MT; $1669.75;;;;;;;;;;;;;;;;;;;;
1623;CAÑO PRESIÓN ROJO 10MM. X50MTS (VALOR POR METRO); $1058.50;;;;;;;;;;;;;;;;;;;;
1624;CAÑO PRESIÓN ROJO 12MM. X25MTS (VALOR POR METRO); $1161.50;;;;;;;;;;;;;;;;;;;;
1621;CAÑO PRESIÓN ROJO 6MM. X50MTS (VALOR POR METRO); $616.25;;;;;;;;;;;;;;;;;;;;
1622;CAÑO PRESIÓN ROJO 8MM. X50MTS (VALOR POR METRO); $769.25;;;;;;;;;;;;;;;;;;;;
1598;CAÑO RIEGO LIVIANO INT. BCO. 1/2 BICOLOR (valor por metro)-PSF; $264.50;;;;;;;;;;;;;;;;;;;;
1599;CAÑO RIEGO REF. VERDE 1/2mm (valor por metro)-PSF; $466.00;;;;;;;;;;;;;;;;;;;;
1600;CAÑO RIEGO SUP. REF. AZUL 1/2mm (valor por metro)-PSF; $556.75;;;;;;;;;;;;;;;;;;;;
1620;CAÑO RIEGO TRENZADO 1 (VALOR POR METRO); $2237.50;;;;;;;;;;;;;;;;;;;;
1616;CAÑO RIEGO TRENZADO 1/2 (VALOR POR METRO); $746.00;;;;;;;;;;;;;;;;;;;;
1618;CAÑO RIEGO TRENZADO 3/4 (VALOR POR METRO); $1491.75;;;;;;;;;;;;;;;;;;;;
822;CAÑO RIEGO VERDE TRANS. 13MM-VALOR POR METRO.; $466.00;;;;;;;;;;;;;;;;;;;;
823;CAÑO RIEGO VERDE TRANS. 19MM-VALOR POR METRO; $932.00;;;;;;;;;;;;;;;;;;;;
824;CAÑO RIEGO VERDE TRANS. 25MM-VALOR POR METRO; $1398.00;;;;;;;;;;;;;;;;;;;;
2103;Cepilladora eléctrica de mano 710 W; $87991.25;;;;;;;;;;;;;;;;;;;;
1558;Cepillo Alambre 4x19 c/mango plastico; $2372.25;;;;;;;;;;;;;;;;;;;;
1557;Cepillo Alambre 6x19 s/mango; $3446.25;;;;;;;;;;;;;;;;;;;;
1113;CEPILLO ALAMBRE BANANITA-CALABRO; $1950.00;;;;;;;;;;;;;;;;;;;;
2135;Cepillo cilíndrico frontal CI141; $16498.50;;;;;;;;;;;;;;;;;;;;
1957;Cepillo cilíndrico trasero CI142; $12832.25;;;;;;;;;;;;;;;;;;;;
1199;Cepillo circular 3 para taladro; $2474.75;;;;;;;;;;;;;;;;;;;;
1556;Cepillo Curvo Bronceado N°20; $1677.75;;;;;;;;;;;;;;;;;;;;
839;Cepillo cónico de alambre rizado 4 para amoladora -sin stock; $4356.00;;;;;;;;;;;;;;;;;;;;
1200;Cepillo de alambre trenzado 4 para amoladora -sin stock; $5499.50;;;;;;;;;;;;;;;;;;;;
1404;Cepillo de brocha 1 para taladro -sin stock; $2291.50;;;;;;;;;;;;;;;;;;;;
1026;Cepillo de copa 2 para taladro -sin stock; $2474.75;;;;;;;;;;;;;;;;;;;;
838;Cepillo de copa de alambre rizado 3 para amoladora -sin stock; $4356.00;;;;;;;;;;;;;;;;;;;;
1025;Cepillo de copa de alambre rizado 4 para amoladora - sin stock; $7332.75;;;;;;;;;;;;;;;;;;;;
1198;Cepillo de copa de alambre trenzado 3 para amoladora -sin stock; $6141.25;;;;;;;;;;;;;;;;;;;;
720;Cepillo flap para taladro 50 mm / 60-sin stock; $1307.00;;;;;;;;;;;;;;;;;;;;
1958;Cepillos circulares CE14; $10999.00;;;;;;;;;;;;;;;;;;;;
1095;Cesto de acero rectangular 12 l-sin stock-; $48762.00;;;;;;;;;;;;;;;;;;;;
1833;Cesto doble plegable de bambú rectangular -sin stock; $41563.50;;;;;;;;;;;;;;;;;;;;
1832;Cesto plegable de bambú rectangular -sin stock; $31036.50;;;;;;;;;;;;;;;;;;;;
1834;Cesto plegable de bambú redondo -sin stock; $29040.00;;;;;;;;;;;;;;;;;;;;
1096;Cesto plegable de bambú redondo-sin stock-; $29330.50;;;;;;;;;;;;;;;;;;;;
494;Chaleco reflectivo NARANJA; $2196.25;;;;;;;;;;;;;;;;;;;;
495;Chaleco reflectivo VERDE; $2196.25;;;;;;;;;;;;;;;;;;;;
1669;Chispero/Magiclick recargable; $1512.50;;;;;;;;;;;;;;;;;;;;
1356;CINCEL ALBAÑIL C/PROTECTOR 300X16MM -sin stock; $3817.75;;;;;;;;;;;;;;;;;;;;
1327;CINTA AGRIMENSOR 20MTS. -sin stock; $5395.00;;;;;;;;;;;;;;;;;;;;
1253;CINTA AGRIMENSOR 30MTS.; $6056.75;;;;;;;;;;;;;;;;;;;;
1254;CINTA AGRIMENSOR 50MTS. -sin stock; $7873.75;;;;;;;;;;;;;;;;;;;;
1440;CINTA AISLADORA NEGRA 9MTS.; $685.75;;;;;;;;;;;;;;;;;;;;
2043;CINTA AISLADORA X10MT-TACSA AMARILLO; $601.50;;;;;;;;;;;;;;;;;;;;
2041;CINTA AISLADORA X10MT-TACSA AZUL; $601.50;;;;;;;;;;;;;;;;;;;;
2044;CINTA AISLADORA X10MT-TACSA BLANCA -sin stock; $601.50;;;;;;;;;;;;;;;;;;;;
2039;CINTA AISLADORA X10MT-TACSA GRIS; $601.50;;;;;;;;;;;;;;;;;;;;
2042;CINTA AISLADORA X10MT-TACSA NEGRA; $601.50;;;;;;;;;;;;;;;;;;;;
977;CINTA AISLADORA X10MT-TACSA ROJO; $601.50;;;;;;;;;;;;;;;;;;;;
2040;CINTA AISLADORA X10MT-TACSA VERDE; $601.50;;;;;;;;;;;;;;;;;;;;
978;CINTA AISLADORA X20MT-TACSA(NEGRA); $1096.00;;;;;;;;;;;;;;;;;;;;
980;CINTA AUTOSOL 19MMX4.57MT-TACSA -sin stock; $3803.51;;;;;;;;;;;;;;;;;;;;
1659;CINTA AZUL OBRA 900UV 24X40 - DOBLE A; $2902.50;;;;;;;;;;;;;;;;;;;;
1660;CINTA AZUL OBRA 900UV 36X40 - DOBLE A; $4348.00;;;;;;;;;;;;;;;;;;;;
1661;CINTA AZUL OBRA 900UV 48X40 - DOBLE A; $5811.75;;;;;;;;;;;;;;;;;;;;
959;CINTA CERCO PERIMETRAL 5CM - MARRON - sin stock; $20032.25;;;;;;;;;;;;;;;;;;;;
957;CINTA CERCO PERIMETRAL 5CM - NEGRA - sin stock; $20032.25;;;;;;;;;;;;;;;;;;;;
955;CINTA CERCO PERIMETRAL 5CM - VERDE - sin stock; $20032.25;;;;;;;;;;;;;;;;;;;;
960;CINTA CERCO PERIMETRAL 6.3CM - MARRON - sin stock; $20032.25;;;;;;;;;;;;;;;;;;;;
958;CINTA CERCO PERIMETRAL 6.3CM - NEGRA - sin stock; $20032.25;;;;;;;;;;;;;;;;;;;;
956;CINTA CERCO PERIMETRAL 6.3CM - VERDE - sin stock; $20032.25;;;;;;;;;;;;;;;;;;;;
1709;CINTA DE EMBALAR TRANSPARENTE 4,8cmx41m; $805.50;;;;;;;;;;;;;;;;;;;;
1052;CINTA DE EMBALAR TRS.48MX92MT.-3M -sin stock; $1823.75;;;;;;;;;;;;;;;;;;;;
440;Cinta de teflón 1/2 media densidad 10 m -sin stock; $345.00;;;;;;;;;;;;;;;;;;;;
270;Cinta de teflón 3/4 alta densidad 40 m-sin stock-; $2559.25;;;;;;;;;;;;;;;;;;;;
438;Cinta de teflón 3/4 media densidad 10 m; $472.00;;;;;;;;;;;;;;;;;;;;
2064;CINTA DE TELA MULTIP. DUCTAC 9MT-TACSA AMARILLA; $3188.50;;;;;;;;;;;;;;;;;;;;
979;CINTA DE TELA MULTIP. DUCTAC 9MT-TACSA AZUL; $3188.50;;;;;;;;;;;;;;;;;;;;
2061;CINTA DE TELA MULTIP. DUCTAC 9MT-TACSA GRIS; $3188.50;;;;;;;;;;;;;;;;;;;;
2062;CINTA DE TELA MULTIP. DUCTAC 9MT-TACSA NEGRA; $3188.50;;;;;;;;;;;;;;;;;;;;
2063;CINTA DE TELA MULTIP. DUCTAC 9MT-TACSA ROJA; $3188.50;;;;;;;;;;;;;;;;;;;;
2065;CINTA DE TELA MULTIP. DUCTAC 9MT-TACSA VERDE; $3188.50;;;;;;;;;;;;;;;;;;;;
2066;CINTA DE TELA MULTIP. DUCTAC 9MT-TACSA VIOLETA; $3188.50;;;;;;;;;;;;;;;;;;;;
997;CINTA DOBLE FAZ 10X3AA - sin stock; $7100.00;;;;;;;;;;;;;;;;;;;;
1163;CINTA EMPAQUE TRANSP 48MM X 50M -sin stock; $880.25;;;;;;;;;;;;;;;;;;;;
1053;CINTA ENMAS. 101+18MMX50M - 3M; $1535.25;;;;;;;;;;;;;;;;;;;;
1054;CINTA ENMAS. 101+24MMX50M - 3M -sin stock; $2165.25;;;;;;;;;;;;;;;;;;;;
1055;CINTA ENMAS. 101+48MMX50M - 3M; $4094.00;;;;;;;;;;;;;;;;;;;;
1072;CINTA ENMASCARAR 3M - 36MMX40MT; $3040.25;;;;;;;;;;;;;;;;;;;;
724;CINTA METRICA 10MTS; $5574.51;;;;;;;;;;;;;;;;;;;;
283;CINTA METRICA 3MTS AZUL; $2177.24;;;;;;;;;;;;;;;;;;;;
514;CINTA METRICA 5MT TRUPER-sin stock-; $10706.25;;;;;;;;;;;;;;;;;;;;
258;CINTA METRICA 5MTS AZUL -sin stock; $2368.25;;;;;;;;;;;;;;;;;;;;
723;CINTA METRICA 7.5MTS; $4831.25;;;;;;;;;;;;;;;;;;;;
1454;CINTA METRICA GIAN TOP X 3MT ROJA -sin stock; $2931.25;;;;;;;;;;;;;;;;;;;;
459;CINTA METRICA NEG/AMAR. 3MT; $2221.25;;;;;;;;;;;;;;;;;;;;
460;CINTA METRICA NEG/AMAR. 5MT; $2777.24;;;;;;;;;;;;;;;;;;;;
1662;CINTA PAPEL DANCAN 24X40; $1643.50;;;;;;;;;;;;;;;;;;;;
1663;CINTA PAPEL DANCAN 36X40; $2482.75;;;;;;;;;;;;;;;;;;;;
1664;CINTA PAPEL DANCAN 48X40; $3298.75;;;;;;;;;;;;;;;;;;;;
1169;CINTA PELIGRO X100MTS.; $2790.51;;;;;;;;;;;;;;;;;;;;
1170;CINTA PELIGRO X200MTS; $3574.75;;;;;;;;;;;;;;;;;;;;
961;CINTA PVC P/SILLON X 25MT AMARILLO - sin stock; $7313.50;;;;;;;;;;;;;;;;;;;;
1974;CINTA PVC P/SILLON X 25MT ROJO - sin stock; $7313.50;;;;;;;;;;;;;;;;;;;;
1975;CINTA PVC P/SILLON X 25MT VERDE - sin stock; $7313.50;;;;;;;;;;;;;;;;;;;;
369;CINTA SUJ.DE CARGA 50 MM PES. EN R. DE 50 MTS - CMR 5000KG; $128535.75;;;;;;;;;;;;;;;;;;;;
368;CINTA SUJE.DE CAR. 25 MM PESADA EN R. DE 50 MTS; $86554.75;;;;;;;;;;;;;;;;;;;;
693;CINTA TEJIDA PLASTICA P/REPOSERAS ROLLO X 100MTS.; $32083.50;;;;;;;;;;;;;;;;;;;;
2058;CINTA TELA MULTIP. 48MM X 9MT UNITAPE AMARILLO; $2360.50;;;;;;;;;;;;;;;;;;;;
1073;CINTA TELA MULTIP. 48MM X 9MT UNITAPE AZUL; $2360.50;;;;;;;;;;;;;;;;;;;;
2059;CINTA TELA MULTIP. 48MM X 9MT UNITAPE BLANCO; $2360.50;;;;;;;;;;;;;;;;;;;;
2060;CINTA TELA MULTIP. 48MM X 9MT UNITAPE GRIS; $2360.50;;;;;;;;;;;;;;;;;;;;
2132;CINTA TELA MULTIP. 48MM X 9MT UNITAPE NEGRA; $2360.50;;;;;;;;;;;;;;;;;;;;
2057;CINTA TELA MULTIP. 48MM X 9MT UNITAPE ROJO; $2360.50;;;;;;;;;;;;;;;;;;;;
1167;CINTA TEMFLEX 165 19MM X 18M NEG. 3M; $1595.75;;;;;;;;;;;;;;;;;;;;
1921;Clarificador 1L PQN; $2950.00;;;;;;;;;;;;;;;;;;;;
1922;Clarificador 5L PQN -sin stock; $14550.00;;;;;;;;;;;;;;;;;;;;
1258;CLAVERA; $9993.50;;;;;;;;;;;;;;;;;;;;
1339;CLAVO P/PARIS X1KG - 1 -sin stock; $3850.00;;;;;;;;;;;;;;;;;;;;
1340;CLAVO P/PARIS X1KG - 1 1/2; $3750.00;;;;;;;;;;;;;;;;;;;;
1341;CLAVO P/PARIS X1KG - 2; $3500.25;;;;;;;;;;;;;;;;;;;;
1342;CLAVO P/PARIS X1KG - 2 1/2; $3500.25;;;;;;;;;;;;;;;;;;;;
1343;CLAVO P/PARIS X1KG - 3; $3500.25;;;;;;;;;;;;;;;;;;;;
1344;CLAVOS PUNTA PARIS 4 - sin stock; $3500.25;;;;;;;;;;;;;;;;;;;;
1345;CLAVOS PUNTA PARIS 5; $3500.25;;;;;;;;;;;;;;;;;;;;
1346;CLAVOS PUNTA PARIS 6; $3770.00;;;;;;;;;;;;;;;;;;;;
1347;CLAVOS PUNTA PARIS 8; $3770.00;;;;;;;;;;;;;;;;;;;;
1047;Cloro gra. de dis, rápida (dicloro)5kg-sin stock-; $34280.00;;;;;;;;;;;;;;;;;;;;
1722;Cloro granulado dicloro rápido 50 kg - SDIC-50-1G; $346755.75;;;;;;;;;;;;;;;;;;;;
1048;Cloro triple acc. en polvo de diso. lenta (tricloro) 5kg-sin stock-; $32905.25;;;;;;;;;;;;;;;;;;;;
588;Cloro triple acción en pastillas de 200 g tricloro 50 kg; $332145.00;;;;;;;;;;;;;;;;;;;;
962;COBERTURA PLASTICA MULTIUSO 3X3; $2177.00;;;;;;;;;;;;;;;;;;;;
963;COBERTURA PLASTICA MULTIUSO 3X4; $2935.24;;;;;;;;;;;;;;;;;;;;
964;COBERTURA PLASTICA MULTIUSO 3X5; $3784.00;;;;;;;;;;;;;;;;;;;;
307;COCINA ANAFE MINI CAMPING; $15599.50;;;;;;;;;;;;;;;;;;;;
1828;Colchonera enrollable negra (MAT) -sin stock; $14973.75;;;;;;;;;;;;;;;;;;;;
1723;Compresor 25 Litros; $192270.00;;;;;;;;;;;;;;;;;;;;
269;Conector acople rápido para manguera de 1/2-sin stock; $816.75;;;;;;;;;;;;;;;;;;;;
1677;Conector roscado para canillas -sin stock; $1089.00;;;;;;;;;;;;;;;;;;;;
2139;CONECTOR TERMOPLAST CTRG020 3/4 - 20MM; $179.75;;;;;;;;;;;;;;;;;;;;
2140;CONECTOR TERMOPLAST CTRG022 7/8 - 22MM; $337.75;;;;;;;;;;;;;;;;;;;;
2141;CONECTOR TERMOPLAST CTRG025 1 - 25MM; $381.25;;;;;;;;;;;;;;;;;;;;
1702;CONO PE BASE GOMA ECO. 1000MM. RIGIDO C/BANDA; $41511.00;;;;;;;;;;;;;;;;;;;;
1700;CONO PE BASE GOMA ECO. 500MM. RIGIDO C/BANDA; $19600.25;;;;;;;;;;;;;;;;;;;;
1701;CONO PE BASE GOMA ECO. 750MM. RIGIDO C/BANDA; $24140.75;;;;;;;;;;;;;;;;;;;;
1538;CONSERVADORA DESES-PLAST 70LTS. C/2 DESAGOTES; $67067.50;;;;;;;;;;;;;;;;;;;;
1539;CONSERVADORA HELATODO 10L.; $25555.00;;;;;;;;;;;;;;;;;;;;
895;Conservadora Helatodo 28 Litros; $30140.51;;;;;;;;;;;;;;;;;;;;
