ID,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43
14,00000117,"CHORIZO PARMESANO","2000-01-13 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,201,-258.75000,"2020-02-08 00:00:00",0.00000,0.00000,"2020-01-16 15:22:16",0,0,0,4100,0,NULL,"CHORIZO PARMESANO",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
15,00000118,"CHORIZO ESPECIAL 303","2004-09-14 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,201,-1547.55000,"2019-10-23 00:00:00",0.00000,0.00000,"2020-01-16 15:22:16",0,0,0,4100,0,NULL,"CHORIZO ESPECIAL 303",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
16,00000119,"MORCILLA C/VERDEO","2005-01-13 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-07 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,201,-113.33000,"2017-03-13 00:00:00",0.00000,0.00000,"2019-12-18 14:16:37",0,0,0,4100,0,NULL,"MORCILLA C/VERDEO",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
17,00000121,"POLLO FCO","2005-01-13 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2019-05-16 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,201,274.50000,"2016-10-14 00:00:00",0.00000,0.00000,"2019-12-09 15:08:19",0,0,0,4100,0,NULL,"POLLO FCO",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
18,00000201,"JAMON COCIDO","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-490.68000,"2020-02-10 00:00:00",0.00000,0.00000,"2019-12-18 14:16:37",0,0,0,4200,0,NULL,"JAMON COCIDO",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
19,00000203,"PERNIL DE CERDO MITY","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,202,-1600.18000,"2018-09-11 00:00:00",0.00000,0.00000,"2020-01-16 15:22:16",0,0,0,4200,0,,"PERNIL DE CERDO",0.00000,0,0,1,,Bultos,0.00000,0,2
20,00000204,"MORTADELA CA¥ON","1994-12-30 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-1414.10000,"2017-11-01 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,NULL,"MORTADELA CA¥ON",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
21,00000205,"MORTADELA FAMILIAR","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2019-08-13 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-205.05000,"2016-10-15 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,NULL,"MORTADELA FAMILIAR",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
22,00000206,"SALCHICHON CON JAMON","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2015-12-21 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-43.70000,"2015-12-21 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,NULL,"SALCHICHON CON JAMON",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
23,00000207,"SALCHICHON PRIMAVERA","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-145.21000,"2017-08-11 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,NULL,"SALCHICHON PRIMAVERA",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
